"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2021-09-29","77.1","1.94","5.66","Lowther, Zac",571771,675912,"grounded_into_double_play","hit_into_play",,,,,"4","Enrique Hernandez grounds into a double play, third baseman Kelvin Gutierrez to first baseman Ryan Mountcastle.   Alex Verdugo out at 3rd.    Jose Iglesias to 2nd.    Enrique Hernandez out at 1st.","R","R","L","BAL","BOS","X","5","ground_ball","2","1",2021,"-1.68","-0.93","-0.64","2.70",,"657077","578428","0","5","Top",90.15,161.58,,,"600474",,,-2.4280214631883053,-112.16087273050708,2.5554095111000272,-13.415723508409531,24.42704683518959,-40.759645100161634,"3.32","1.51","5","72.5","-27","77","2653","6.7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.83","0.046","0.041","0","1","0","0","2","34","4","Curveball","0","1","1","0","1","0","1","0","Infield shift","Standard","326","0.103","-0.731"
"CH","2021-09-29","83.0","1.85","5.75","Lowther, Zac",571771,675912,,"called_strike",,,,,"8","Enrique Hernandez grounds into a double play, third baseman Kelvin Gutierrez to first baseman Ryan Mountcastle.   Alex Verdugo out at 3rd.    Jose Iglesias to 2nd.    Enrique Hernandez out at 1st.","R","R","L","BAL","BOS","S",,,"2","0",2021,"1.27","0.98","0.13","1.82",,"657077","578428","0","5","Top",,,,,"600474",,,-6.490108511764977,-120.62783220136816,-4.438118359239448,13.65275663852172,24.391948374642322,-21.909882998300894,"3.36","1.55",,,,"83.6","1943","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.64",,,,,,,,"34","3","Changeup","0","1","1","0","1","0","1","0","Infield shift","Standard","128","0","-0.183"
"FF","2021-09-29","90.5","1.71","5.73","Lowther, Zac",571771,675912,,"ball",,,,,"12","Enrique Hernandez grounds into a double play, third baseman Kelvin Gutierrez to first baseman Ryan Mountcastle.   Alex Verdugo out at 3rd.    Jose Iglesias to 2nd.    Enrique Hernandez out at 1st.","R","R","L","BAL","BOS","B",,,"1","0",2021,"1.26","1.36","1.24","3.25",,"657077","578428","0","5","Top",,,,,"600474",,,-3.947776069507842,-131.63660429137707,-3.1169710427390385,15.493453762984142,31.990530254040657,-15.997270261199441,"3.34","1.59",,,,"91","2285","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.54",,,,,,,,"34","2","4-Seam Fastball","0","1","1","0","1","0","1","0","Infield shift","Standard","133","0","0.181"
"SL","2021-09-29","80.8","1.92","5.73","Lowther, Zac",571771,675912,,"ball",,,,,"12","Enrique Hernandez grounds into a double play, third baseman Kelvin Gutierrez to first baseman Ryan Mountcastle.   Alex Verdugo out at 3rd.    Jose Iglesias to 2nd.    Enrique Hernandez out at 1st.","R","R","L","BAL","BOS","B",,,"0","0",2021,"-1.14","0.26","0.05","4.60",,"657077","578428","0","5","Top",,,,,"600474",,,-1.9898809900964203,-117.63040611951544,3.6948400407539523,-10.19748195601207,23.262945677031965,-30.720185615092593,"3.28","1.67",,,,"81.2","2719","6.7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.84",,,,,,,,"34","1","Slider","0","1","1","0","1","0","1","0","Standard","Standard","304","0","0.079"
"CH","2021-09-29","83.0","1.74","5.8","Lowther, Zac",578428,675912,"single","hit_into_play",,,,,"12","Jose Iglesias singles on a ground ball to center fielder Cedric Mullins.   Alex Verdugo to 2nd.","R","R","L","BAL","BOS","X","8","ground_ball","1","1",2021,"1.37","0.99","1.15","2.58",,,"657077","0","5","Top",126.4,85.31,,,"600474",,,-4.055783625621614,-120.81063898605748,-2.7883898953117128,14.204889030482992,25.505121720512857,-22.223847422663326,"3.32","1.51","93","94.4","5","83.2","1926","6.6",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.91","0.511","0.474","0.9","1","1","0","4","33","3","Changeup","0","1","1","0","1","0","1","0","Standard","Standard","130","-0.052","0.716"
"CH","2021-09-29","82.6","1.69","5.87","Lowther, Zac",578428,675912,,"called_strike",,,,,"6","Jose Iglesias singles on a ground ball to center fielder Cedric Mullins.   Alex Verdugo to 2nd.","R","R","L","BAL","BOS","S",,,"1","0",2021,"1.35","1.15","0.31","1.91",,,"657077","0","5","Top",,,,,"600474",,,-5.829346484401896,-120.09432462184607,-4.734249058131313,14.183680305330652,25.11227190722163,-20.372798406233983,"2.9","1.35",,,,"83.1","1917","6.8",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.66",,,,,,,,"33","2","Changeup","0","1","1","0","1","0","1","0","Standard","Standard","129","0","-0.073"
"CH","2021-09-29","82.6","1.84","5.74","Lowther, Zac",578428,675912,,"blocked_ball",,,,,"13","Jose Iglesias singles on a ground ball to center fielder Cedric Mullins.   Alex Verdugo to 2nd.","R","R","L","BAL","BOS","B",,,"0","0",2021,"1.19","0.89","-0.17","0.08",,,"657077","0","5","Top",,,,,"600474",,,-6.928254482730777,-119.81786509069808,-8.026215693654141,12.886343474711278,25.763349139146097,-22.133915803344568,"2.96","1.38",,,,"82.4","1773","6.6",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.91",,,,,,,,"33","1","Changeup","0","1","1","0","1","0","1","0","Standard","Standard","130","0","0.055"
"SL","2021-09-29","83.2","1.99","5.59","Lowther, Zac",657077,675912,"single","hit_into_play",,,,,"7","Alex Verdugo singles on a line drive to center fielder Cedric Mullins, deflected by shortstop Richie Martin.","R","L","L","BAL","BOS","X","6","line_drive","2","2",2021,"-0.97","-0.27","-0.45","1.50",,,,"0","5","Top",104.32,87.47,,,"600474",,,-3.7197201518557583,-120.91988860697367,-2.2447554658287254,-8.455671866526888,29.04875293696414,-34.50971103192975,"3.37","1.53","211","97.4","11","83.1","2569","6.8",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.7","0.88","0.837","0.9","1","1","0","4","32","5","Slider","0","1","1","0","1","0","1","0","Strategic","Standard","317","-0.037","0.428"
"CH","2021-09-29","84.2","1.77","5.71","Lowther, Zac",657077,675912,,"called_strike",,,,,"7","Alex Verdugo singles on a line drive to center fielder Cedric Mullins, deflected by shortstop Richie Martin.","R","L","L","BAL","BOS","S",,,"2","1",2021,"1.36","1.06","-0.42","1.81",,,,"0","5","Top",,,,,"600474",,,-7.877388948582991,-122.23258897704044,-4.733747245447089,15.227446660631982,26.089216447162965,-20.79917236359309,"3.47","1.49",,,,"84.7","1883","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.57",,,,,,,,"32","4","Changeup","0","1","1","0","1","0","1","0","Strategic","Standard","131","0","-0.066"
"CH","2021-09-29","84.1","1.64","5.76","Lowther, Zac",657077,675912,,"ball",,,,,"13","Alex Verdugo singles on a line drive to center fielder Cedric Mullins, deflected by shortstop Richie Martin.","R","L","L","BAL","BOS","B",,,"1","1",2021,"1.15","0.94","-1.34","1.28",,,,"0","5","Top",,,,,"600474",,,-9.286555595727483,-122.03321730592526,-5.875858071364367,13.398550038966096,24.898161132234765,-21.756796364781795,"3.43","1.51",,,,"84.6","1788","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.62",,,,,,,,"32","3","Changeup","0","1","1","0","1","0","1","0","Standard","Standard","129","0","0.052"
